Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Employment,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,History of Health,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
941,671,40-49,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,properties first,Unfair,Agree,Agree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Agree,Very Unfair,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Agree,Unfair,Neutral,Somewhat Disagree,Neutral,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Very Fair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neutral,Agree,Agree,Fair,Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Unfair,Agree,Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Agree,Neutral,Somewhat Fair,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree
942,1204,30-39,Graduate,Female,,<25000,false,true,false,false,false,,ins,fairness first,Fair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Very Fair,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Agree,Somewhat Disagree,Neutral,Agree,Agree,Agree,Agree,Fair,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree
943,873,30-39,Bachelor,Female,,50000-75000,false,true,false,false,false,,ins,properties first,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Agree,Agree,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Somewhat Agree,Neutral,Neutral,,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Somewhat Agree,Neutral
944,1210,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,ins,fairness first,Fair,Somewhat Agree,Agree,Neutral,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Very Unfair,Somewhat Agree,Neutral,Neutral,Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Very Fair,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Agree,,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Fair,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral
945,526,50-59,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Somewhat Unfair,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Very Unfair,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
946,409,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Very Unfair,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,,Agree,Agree,Agree,Very Unfair,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
947,414,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Unfair,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Unfair,Disagree,Strongly Disagree,Neutral,Somewhat Agree,Disagree,Neutral,Agree,Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,Disagree,Agree,Agree,Neutral,Very Unfair,Disagree,Strongly Disagree,Neutral,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Agree,Somewhat Unfair,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,,Agree,Neutral
948,444,18-29,High School,Male,,<25000,false,false,false,true,false,,ins,properties first,Unfair,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Unfair,Neutral,Neutral,Somewhat Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Neutral,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral
949,586,50-59,High School,Female,,75000-100000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Very Unfair,Disagree,Neutral,Somewhat Disagree,Agree,Neutral,Neutral,Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Disagree,Somewhat Disagree,Very Unfair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Very Unfair,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Disagree
950,472,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,false,true,,ins,fairness first,Neutral,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Very Unfair,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Fair,Agree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Unfair,Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Unfair,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Somewhat Agree,Disagree
952,326,30-39,Graduate,Male,,75000-100000,false,true,false,false,false,,ins,fairness first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
953,567,50-59,High School,Female,,25000-50000,false,false,true,false,false,,ins,fairness first,Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Very Unfair,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Very Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree
954,386,30-39,Bachelor,Male,,>100000,false,true,false,true,false,,ins,properties first,Somewhat Unfair,Agree,Agree,Somewhat Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Unfair,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Very Unfair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Very Unfair,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
955,1394,18-29,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Fair,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Unfair,Agree,Disagree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Fair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
956,784,30-39,High School,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Fair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Fair,Somewhat Agree,Agree,Disagree,,Strongly Agree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Fair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Strongly Disagree,Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Disagree,Disagree
957,622,18-29,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,properties first,Somewhat Unfair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Agree,Unfair,Somewhat Agree,Disagree,Somewhat Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree
958,659,50-59,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Unfair,Somewhat Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Unfair,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Disagree,Agree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Unfair,Disagree,Disagree,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Neutral,Disagree
959,491,30-39,Graduate,Female,,75000-100000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Unfair,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Strongly Agree,Agree,Agree,Somewhat Unfair,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Agree,Unfair,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Disagree,Agree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Very Unfair,Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,,Agree,Agree
960,1160,40-49,Bachelor,Male,,>100000,false,false,false,true,false,,ins,properties first,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neutral,Agree,Agree,Somewhat Unfair,Agree,Neutral,,Strongly Disagree,Neutral,Neutral,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral
961,339,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,fairness first,Very Fair,Strongly Agree,,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Fair,Strongly Agree,,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Fair,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Neutral
962,577,40-49,High School,Male,,75000-100000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,,Agree,Strongly Agree,Very Unfair,Strongly Agree,Disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Unfair,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Very Unfair,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Unfair,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Very Unfair,Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Very Unfair,Disagree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree
963,325,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Very Fair,Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Neutral,,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,,Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Disagree,,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Fair,Agree,Agree,Disagree,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Somewhat Fair,Neutral,Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Neutral
964,1931,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Agree,Disagree,Fair,Agree,Agree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Fair,Agree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree
965,597,60-69,Associate or Diploma,Female,,<25000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Unfair,Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Unfair,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree
