Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Relevance,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Criminal History,Criminal History Reliability,Criminal History Relevance,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Substance Abuse,Substance Abuse Reliability,Substance Abuse Relevance,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Employment and Living,Employment and Living Reliability,Employment and Living Relevance,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Personality,Personality Reliability,Personality Relevance,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Relevance,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Neighbourhood,Neighbourhood Reliability,Neighbourhood Relevance,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Friends and Family,Friends and Family Reliability,Friends and Family Relevance,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Social Life,Social Life Reliability,Social Life Relevance,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group
608,501,40-49,Bachelor,Female,,25000-50000,false,true,false,false,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Very Unfair,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Very Unfair,Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Neutral,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree
613,916,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,,Somewhat Agree,Very Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Very Fair,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Fair,Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Strongly Agree
614,2013,50-59,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,rec,fairness first,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Neutral,Fair,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Very Unfair,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Neutral,Neutral,Unfair,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Neutral,Neutral,Very Unfair,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Somewhat Fair,Somewhat Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Very Unfair,Disagree,Disagree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Disagree,Agree,Agree,Agree
616,731,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,,Fair,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
623,994,18-29,Bachelor,Female,,<25000,false,true,false,false,false,,rec,fairness first,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Fair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Neutral
624,2101,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,rec,properties first,Fair,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Somewhat Agree,Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Neutral,Disagree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Neutral,Unfair,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Neutral,Disagree,Somewhat Agree,Neutral,Strongly Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Unfair,Somewhat Agree,Neutral,Neutral,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Disagree,Somewhat Agree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Very Unfair,Agree,Somewhat Disagree,Disagree,Strongly Agree,Neutral,Neutral,Agree,Somewhat Agree
625,595,18-29,High School,Female,,50000-75000,false,false,true,false,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Agree,Strongly Agree,Strongly Disagree,,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Very Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
626,2012,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Somewhat Agree,Very Fair,Somewhat Disagree,Agree,Neutral,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Somewhat Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Unfair,Agree,Somewhat Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Agree,Agree,Somewhat Agree,Unfair,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Disagree,Disagree,Agree,Somewhat Disagree,Agree,Agree,Neutral
628,1087,,,,,,false,false,false,false,false,,rec,properties first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,585,60-69,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Very Fair,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
633,1674,30-39,High School,Female,,75000-100000,false,false,false,true,false,,rec,fairness first,Very Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Fair,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Fair,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Somewhat Fair,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Somewhat Fair,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Unfair,Neutral,Neutral,Agree,Agree,Somewhat Agree,Neutral,Neutral,Disagree,Fair,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
